Пол;Нуждается в общежитии;Иностранное гражданство;Школа;Вид приема;Набор ОП;Сумма баллов;р.я;инф;мат;физ;Баллы за индивидуальные достижения;Сумма баллов за индивидуальные достижения;Год поступления
Ж;нет;;"МБОУ ""Школа № 120 с углубленным изучением отдельных предметов "" городского округа Самара Самарская область, Россия, г. Самара (63), обл. Самарская";Общий конкурс;10.03.01 Информационная безопасность;242;98;;76;68;;0;2020
Ж;нет;;"МБОУ ""Школа № 120 с углубленным изучением отдельных предметов "" городского округа Самара Самарская область, Россия, г. Самара (63), обл. Самарская";Общий конкурс;01.03.02 Прикладная математика и информатика;269;96;;94;74;1. Аттестат о среднем общем образовании с отличием — 5;5;2019
Ж;нет;;"МБОУ ""Школа № 120 с углубленным изучением отдельных предметов "" городского округа Самара Самарская область, Россия, г. Самара (63), обл. Самарская";Общий конкурс;02.03.02 Фундаментальная информатика и информационные технологии;244;98;;76;68;1. Золотой знак отличия ГТО — 2;2;2018
М;нет;;"МБОУ ""Школа № 120 с углубленным изучением отдельных предметов"" городского округа Самара Самарская область, Россия, г. Самара (63), обл. Самарская";Общий конкурс;12.03.05 Лазерная техника и лазерные технологии;167;65;;50;52;;0;2020
Ж;нет;;"МБОУ ""Школа № 120 с углубленным изучением отдельных предметов"" городского округа Самара Самарская область, Россия, г. Самара (63), обл. Самарская";Общий конкурс;12.03.04 Биотехнические системы и технологии;210;87;;68;55;;0;2019
Ж;нет;;"МБОУ ""Школа № 121"" городского округа Самара Самарской области, Россия, г. Самара (63), обл. Самарская";Общий конкурс;02.03.02 Фундаментальная информатика и информационные технологии;246;89;;76;81;;0;2020
Ж;нет;;"МБОУ ""Школа № 121"" городского округа Самара Самарской области, Россия, г. Самара (63), обл. Самарская";Общий конкурс;03.03.01 Прикладные математика и физика;268;100;;74;86;"1. Победитель/призер олимпиады, конкурса, чемпионата, конференции и иных интеллектуальных конкурсов, проводимых МГУ, СПбГУ, университетами, участвующими в проекте «Проект 5-100», НИУ и федеральными университетами, опорными вузами — 3
2. Аттестат о среднем общем образовании с отличием — 5";8;2018
Ж;нет;;"МБОУ ""Школа № 122 имени Дороднова В.Г."" городского округа Самара, Россия, г. Самара (63), обл. Самарская";Общий конкурс;02.03.03 Математическое обеспечение и администрирование информационных систем;218;69;;74;70;1. Аттестат о среднем общем образовании с отличием — 5;5;2020
М;нет;;"МБОУ ""Школа № 122 имени Дороднова В.Г."" городского округа Самара, Россия, г. Самара (63), обл. Самарская";Общий конкурс;10.05.01 Компьютерная безопасность;257;87;;84;81;1. Аттестат о среднем общем образовании с отличием — 5;5;2020
М;нет;;"МБОУ ""Школа № 122 имени Дороднова В.Г."" городского округа Самара, Россия, г. Самара (63), обл. Самарская";Общий конкурс;11.03.04 Электроника и наноэлектроника;208;78;;62;68;;0;2019
Ж;нет;;"МБОУ ""Школа № 122 имени Дороднова В.Г."" городского округа Самара, Россия, г. Самара (63), обл. Самарская";Общий конкурс;09.03.01 Информатика и вычислительная техника;236;98;;78;55;1. Аттестат о среднем общем образовании с отличием — 5;5;2018
Ж;нет;;"МБОУ ""Школа № 122 имени Дороднова В.Г."" городского округа Самара, Россия, г. Самара (63), обл. Самарская";Общий конкурс;11.03.04 Электроника и наноэлектроника;196;69;;70;52;1. Аттестат о среднем общем образовании с отличием — 5;5;2018
М;нет;;"МБОУ ""Школа № 124 с углубленным изучением отдельных предметов"" городского округа Самара Самарской области, Россия, г. Самара (63), обл. Самарская";Общий конкурс;01.05.01 Фундаментальные математика и механика;217;78;;78;61;;0;2020
М;нет;;"МБОУ ""Школа № 124 с углубленным изучением отдельных предметов"" городского округа Самара Самарской области, Россия, г. Самара (63), обл. Самарская";Общий конкурс;11.03.03 Конструирование и технология электронных средств;242;89;;74;74;1. Аттестат о среднем общем образовании с отличием — 5;5;2020
М;нет;;"МБОУ ""Школа № 124 с углубленным изучением отдельных предметов"" городского округа Самара Самарской области, Россия, г. Самара (63), обл. Самарская";Общий конкурс;02.03.02 Фундаментальная информатика и информационные технологии;240;94;;76;70;;0;2019
М;нет;;"МБОУ ""Школа № 124 с углубленным изучением отдельных предметов"" городского округа Самара Самарской области, Россия, г. Самара (63), обл. Самарская";Общий конкурс;10.05.03 Информационная безопасность автоматизированных систем;259;89;;84;86;;0;2019
М;нет;;"МБОУ ""Школа № 124 с углубленным изучением отдельных предметов"" городского округа Самара, Россия, г. Самара (63), обл. Самарская";Общий конкурс;03.03.01 Прикладные математика и физика;212;87;;70;53;1. Золотой знак отличия ГТО — 2;2;2018
М;да;;"МБОУ ""Школа № 129"" городского округа Самара, Россия, г. Самара (63), обл. Самарская";Общий конкурс;01.03.02 Прикладная математика и информатика;246;87;;76;78;1. Аттестат о среднем общем образовании с отличием — 5;5;2020
М;нет;;"МБОУ ""Школа № 129"" городского округа Самара, Россия, г. Самара (63), обл. Самарская";Общий конкурс;01.03.02 Прикладная математика и информатика;239;76;;80;83;;0;2020
М;нет;;"МБОУ ""Школа № 129"" городского округа Самара, Россия, г. Самара (63), обл. Самарская";Общий конкурс;01.03.02 Прикладная математика и информатика;252;82;;84;81;1. Аттестат о среднем общем образовании с отличием — 5;5;2020
М;нет;;"МБОУ ""Школа № 129"" городского округа Самара, Россия, г. Самара (63), обл. Самарская";По договору;09.03.01 Информатика и вычислительная техника;175;71;;56;48;;0;2019
М;нет;;"МБОУ ""Школа № 132 с углубленным изучением отдельных предметов имени Героя Советского Союза Губанова Г.П."" городского округа Самара Самарской области, Россия, г. Самара (63), обл. Самарская";Общий конкурс;09.03.01 Информатика и вычислительная техника;235;87;;80;66;1. Золотой знак отличия ГТО — 2;2;2018
М;нет;;"МБОУ ""Школа № 144 имени Маршала Советского Союза Д.Ф.Устинова"" городского округа Самара Самарской области, Россия, г. Самара (63), обл. Самарская";По договору;09.03.01 Информатика и вычислительная техника;172;69;;50;53;;0;2019
М;нет;;"МБОУ ""Школа № 144 имени Маршала Советского Союза Д.Ф.Устинова"" городского округа Самара Самарской области, Россия, г. Самара (63), обл. Самарская";Общий конкурс;11.03.03 Конструирование и технология электронных средств;188;73;;68;47;;0;2019
М;нет;;"МБОУ ""Школа № 145 с углубленным изучением отдельных предметов"" городского округа Самара, Россия, г. Самара (63), обл. Самарская";Общий конкурс;11.05.01 Радиоэлектронные системы и комплексы;200;67;;72;61;;0;2019
Ж;нет;;"МБОУ ""Школа № 148 с углубленным изучением отдельных предметов имени Героя Советского Союза Михалева В.П."" городского округа Самара, Россия, г. Самара (63), обл. Самарская";Общий конкурс;01.03.02 Прикладная математика и информатика;252;94;;80;78;;0;2020
Ж;нет;;"МБОУ ""Школа № 148 с углубленным изучением отдельных предметов имени Героя Советского Союза Михалева В.П."" городского округа Самара, Россия, г. Самара (63), обл. Самарская";Общий конкурс;12.03.04 Биотехнические системы и технологии;265;89;;84;84;"1. Аттестат о среднем общем образовании с отличием — 5
2. Лауреат Самарской научно-образовательной  программы «Взлет» — 3";8;2019
М;нет;;"МБОУ ""Школа № 148 с углубленным изучением отдельных предметов имени Героя Советского Союза Михалева В.П."" городского округа Самара, Россия, г. Самара (63), обл. Самарская";Общий конкурс;10.05.03 Информационная безопасность автоматизированных систем;226;80;;78;68;;0;2019
Ж;нет;;"МБОУ ""Школа № 148 с углубленным изучением отдельных предметов имени Героя Советского Союза Михалева В.П."" городского округа Самара, Россия, г. Самара (63), обл. Самарская";В рамках квоты лиц, имеющих особые права;02.03.02 Фундаментальная информатика и информационные технологии;231;89;;62;72;"1. Аттестат о среднем общем образовании с отличием — 5
2. Победитель/призер олимпиады, конкурса, чемпионата, конференции и иных интеллектуальных конкурсов, проводимых МГУ, СПбГУ, университетами, участвующими в проекте «Проект 5-100», НИУ и федеральными университетами, опорными вузами — 3";8;2018
М;нет;;"МБОУ ""Школа № 148 с углубленным изучением отдельных предметов имени Героя Советского Союза Михалева В.П."" городского округа Самара, Россия, г. Самара (63), обл. Самарская";Общий конкурс;10.05.01 Компьютерная безопасность;218;82;;76;60;;0;2018
М;нет;;"МБОУ ""Школа № 148 с углубленным изучением отдельных предметов имени Героя Советского Союза Михалева В.П."" городского округа Самара, Россия, г. Самара (63), обл. Самарская";Общий конкурс;09.03.01 Информатика и вычислительная техника;221;89;;68;59;"1. Золотой знак отличия ГТО — 2
2. Победитель/призер олимпиады, конкурса, чемпионата, конференции и иных интеллектуальных конкурсов, проводимых МГУ, СПбГУ, университетами, участвующими в проекте «Проект 5-100», НИУ и федеральными университетами, опорными вузами — 3";5;2018
М;нет;;"МБОУ ""Школа № 149 имени Героя Российской Федерации А.И. Баранова"" городского округа Самара Самарской области, Россия, г. Самара (63), обл. Самарская";Общий конкурс;11.03.04 Электроника и наноэлектроника;189;73;;68;48;;0;2020
М;нет;;"МБОУ ""Школа № 149 имени Героя Российской Федерации А.И.Баранова"" городского округа Самара Самарской области, Россия, г. Самара (63), обл. Самарская";Общий конкурс;11.03.03 Конструирование и технология электронных средств;182;67;;68;47;;0;2020
М;нет;;"МБОУ ""Школа № 149 имени Героя Российской Федерации А.И.Баранова"" городского округа Самара Самарской области, Россия, г. Самара (63), обл. Самарская";Общий конкурс;09.03.01 Информатика и вычислительная техника;232;73;;88;66;1. Аттестат о среднем общем образовании с отличием — 5;5;2020
М;нет;;"МБОУ ""Школа № 149 имени Героя Российской Федерации А.И.Баранова"" городского округа Самара, Россия, г. Самара (63), обл. Самарская";Общий конкурс;12.03.05 Лазерная техника и лазерные технологии;186;76;;56;54;;0;2018
М;нет;;"МБОУ ""Школа № 150 имени Героя Советского Союза В.И.Чудайкина"" городского округа Самара Самарской области, Россия, г. Самара (63), обл. Самарская";Общий конкурс;09.03.01 Информатика и вычислительная техника;221;85;;72;59;1. Аттестат о среднем общем образовании с отличием — 5;5;2019
М;нет;;"МБОУ ""Школа № 155"" городского округа Самара Самарской области, Россия, г. Самара (63), обл. Самарская";Общий конкурс;09.03.01 Информатика и вычислительная техника;247;91;;76;80;;0;2020
М;нет;;"МБОУ ""Школа № 155"" городского округа Самара Самарской области, Россия, г. Самара (63), обл. Самарская";Общий конкурс;03.03.01 Прикладные математика и физика;211;71;;76;64;;0;2020
М;нет;;"МБОУ ""Школа № 156"" городского округа Самара, Россия, г. Самара (63), обл. Самарская";Общий конкурс;03.03.01 Прикладные математика и физика;215;67;;78;70;;0;2020
Ж;нет;;"МБОУ ""Школа № 156"" городского округа Самара, Россия, г. Самара (63), обл. Самарская";Общий конкурс;11.03.03 Конструирование и технология электронных средств;177;67;;68;42;;0;2019
Ж;нет;;"МБОУ ""Школа № 156"" городского округа Самара, Россия, г. Самара (63), обл. Самарская";Общий конкурс;11.03.03 Конструирование и технология электронных средств;176;65;;62;49;;0;2019
М;нет;;"МБОУ ""Школа № 156"" городского округа Самара, Россия, г. Самара (63), обл. Самарская";По договору;09.03.01 Информатика и вычислительная техника;214;76;;78;60;;0;2019
Ж;нет;;"МБОУ ""Школа № 16"" городского округа Самара, Россия, г. Самара (63), обл. Самарская";Общий конкурс;01.03.02 Прикладная математика и информатика;242;100;;80;62;;0;2019
М;нет;;"МБОУ ""Школа № 16"" городского округа Самара, Россия, г. Самара (63), обл. Самарская";Общий конкурс;10.05.01 Компьютерная безопасность;210;85;;68;57;;0;2019
М;нет;;"МБОУ ""Школа № 16"" городского округа Самара, Россия, г. Самара (63), обл. Самарская";Общий конкурс;11.03.04 Электроника и наноэлектроника;190;65;;68;57;;0;2018
М;нет;;"МБОУ ""Школа № 161 имени Героев Советского Союза, выпускников Куйбышевского военно-пехотного училища № 1"" городского округа Самара Самарской области, Россия, г. Самара (63), обл. Самарская";Общий конкурс;02.03.03 Математическое обеспечение и администрирование информационных систем;202;82;;68;52;;0;2018
М;нет;;"МБОУ ""Школа № 170 с кадетским отделением-интернатом имени Героя Советского Союза З.А. Космодемьянской"" городского округа Самара, Россия, г. Самара (63), обл. Самарская";Общий конкурс;02.03.02 Фундаментальная информатика и информационные технологии;236;87;;72;70;"1. Аттестат о среднем общем образовании с отличием — 5
2. Золотой знак отличия ГТО — 2";7;2018
М;нет;;"МБОУ ""Школа № 174 имени И.П. Зорина"" городского округа Самара, Россия, г. Самара (63), обл. Самарская";Общий конкурс;02.03.02 Фундаментальная информатика и информационные технологии;244;96;;74;74;;0;2018
М;нет;;"МБОУ ""Школа № 175"" городского округа Самара, Россия, г. Самара (63), обл. Самарская";Общий конкурс;11.03.03 Конструирование и технология электронных средств;221;71;;82;68;;0;2019
М;нет;;"МБОУ ""Школа № 176 с углубленным изучением отдельных предметов"" городского округа Самара Самарской области, Россия, г. Самара (63), обл. Самарская";Общий конкурс;01.03.02 Прикладная математика и информатика;234;94;;72;68;;0;2020
Ж;нет;;"МБОУ ""Школа № 176 с углубленным изучением отдельных предметов"" городского округа Самара Самарской области, Россия, г. Самара (63), обл. Самарская";Общий конкурс;12.03.04 Биотехнические системы и технологии;204;78;;62;59;1. Победитель и/или призер олимпиады, конкурса, чемпионата, конференции и иных интеллектуальных конкурсов, проводимых Самарским университетом — 5;5;2020
М;нет;;"МБОУ ""Школа № 176 с углубленным изучением отдельных предметов"" городского округа Самара Самарской области, Россия, г. Самара (63), обл. Самарская";Общий конкурс;10.03.01 Информационная безопасность;245;87;;84;74;;0;2020
М;нет;;"МБОУ ""Школа № 176 с углубленным изучением отдельных предметов"" городского округа Самара Самарской области, Россия, г. Самара (63), обл. Самарская";Общий конкурс;02.03.02 Фундаментальная информатика и информационные технологии;280;89;;86;95;"1. Аттестат о среднем общем образовании с отличием — 5
2. Победитель и/или призер олимпиады, конкурса, чемпионата, конференции и иных интеллектуальных конкурсов, проводимых Самарским университетом — 5
3. Победитель и/или призер олимпиады, конкурса, чемпионата, конференции и иных интеллектуальных конкурсов, проводимых Самарским университетом — 5";10;2020
М;нет;;"МБОУ ""Школа № 176 с углубленным изучением отдельных предметов"" городского округа Самара Самарской области, Россия, г. Самара (63), обл. Самарская";Общий конкурс;09.03.01 Информатика и вычислительная техника;225;73;;80;72;;0;2019
М;нет;;"МБОУ ""Школа № 176 с углубленным изучением отдельных предметов"" городского округа Самара Самарской области, Россия, г. Самара (63), обл. Самарская";Без ВИ в рамках КЦП;11.05.01 Радиоэлектронные системы и комплексы;0;;;;;1. Финалист Всероссийского конкурса юных исследователей «Спутник» — 10;10;2018
М;нет;;"МБОУ ""Школа № 176 с углубленным изучением отдельных предметов"" городского округа Самара Самарской области, Россия, г. Самара (63), обл. Самарская";Общий конкурс;01.05.01 Фундаментальные математика и механика;250;89;;76;80;1. Участник заключительных этапов олимпиад школьников — 5;5;2018
М;нет;Казахстан;"МБОУ ""Школа № 176 с углубленным изучением отдельных предметов"" городского округа Самара Самарской области, Россия, г. Самара (63), обл. Самарская";Общий конкурс;10.05.03 Информационная безопасность автоматизированных систем;241;89;;72;80;;0;2018
Ж;нет;;"МБОУ ""Школа № 176 с углубленным изучением отдельных предметов"" городского округа Самара Самарской области, Россия, г. Самара (63), обл. Самарская";Общий конкурс;02.03.02 Фундаментальная информатика и информационные технологии;267;89;;78;90;"1. Аттестат о среднем общем образовании с отличием — 5
2. Победитель/призёр заключительных этапов олимпиад школьников — 10";10;2018
Ж;нет;;"МБОУ ""Школа № 176 с углубленным изучением отдельных предметов"", Россия, г. Самара (63), обл. Самарская";Общий конкурс;09.03.01 Информатика и вычислительная техника;228;89;;76;58;1. Аттестат о среднем общем образовании с отличием — 5;5;2020
Ж;нет;;"МБОУ ""Школа № 18"" городского округа Самара, Россия, г. Самара (63), обл. Самарская";Общий конкурс;10.03.01 Информационная безопасность;241;96;;62;78;1. Аттестат о среднем общем образовании с отличием — 5;5;2020
Ж;нет;;"МБОУ ""Школа № 22"" городского округа Самара, Россия, г. Самара (63), обл. Самарская";Общий конкурс;02.03.02 Фундаментальная информатика и информационные технологии;258;87;;80;91;;0;2020
М;нет;;"МБОУ ""Школа № 22"" городского округа Самара, Россия, г. Самара (63), обл. Самарская";Общий конкурс;01.03.02 Прикладная математика и информатика;233;91;;76;66;;0;2020
Ж;нет;;"МБОУ ""Школа № 22"" городского округа Самара, Россия, г. Самара (63), обл. Самарская";Общий конкурс;01.03.02 Прикладная математика и информатика;265;91;;92;82;;0;2019
М;нет;;"МБОУ ""Школа № 22"" городского округа Самара, Россия, г. Самара (63), обл. Самарская";Общий конкурс;09.03.01 Информатика и вычислительная техника;236;76;;78;82;;0;2019
Ж;нет;;"МБОУ ""Школа № 22"" городского округа Самара, Россия, г. Самара (63), обл. Самарская";Общий конкурс;01.03.02 Прикладная математика и информатика;255;89;;84;82;;0;2019
Ж;нет;;"МБОУ ""Школа № 22"" городского округа Самара, Россия, г. Самара (63), обл. Самарская";Общий конкурс;12.03.04 Биотехнические системы и технологии;234;80;;72;82;;0;2018
М;нет;;"МБОУ ""Школа № 24 с углубленным изучением отдельных предметов имени Героя Советского Союза Буркина М.И."" городского округа Самара, Россия, г. Самара (63), обл. Самарская";Общий конкурс;10.05.03 Информационная безопасность автоматизированных систем;244;85;;82;72;1. Аттестат о среднем общем образовании с отличием — 5;5;2019
М;нет;;"МБОУ ""Школа № 25 с углубленным изучением отдельных предметов имени сестер Харитоновых"" городского округа Самара, Россия, г. Самара (63), обл. Самарская";Общий конкурс;12.03.04 Биотехнические системы и технологии;226;94;;72;60;;0;2020
М;нет;;"МБОУ ""Школа № 25 с углубленным изучением отдельных предметов имени сестер Харитоновых"" городского округа Самара, Россия, г. Самара (63), обл. Самарская";Общий конкурс;02.03.02 Фундаментальная информатика и информационные технологии;278;96;;84;93;1. Аттестат о среднем общем образовании с отличием — 5;5;2020
М;нет;;"МБОУ ""Школа № 25 с углубленным изучением отдельных предметов имени сестер Харитоновых"" городского округа Самара, Россия, г. Самара (63), обл. Самарская";Общий конкурс;02.03.02 Фундаментальная информатика и информационные технологии;275;94;;80;91;"1. Аттестат о среднем общем образовании с отличием — 5
2. Победители и призёры регионального этапа Всероссийской олимпиады школьников — 5";10;2020
М;нет;;"МБОУ ""Школа № 29 имени начальника Управления пожарной охраны УВД Самарской области Карпова А.К"" городской округ Самара, Россия, г. Самара (63), обл. Самарская";Без ВИ в рамках КЦП;01.03.02 Прикладная математика и информатика;0;;;;;;0;2019
М;нет;;"МБОУ ""Школа № 3 с углубленным изучением предметов имени Героя Советского Союза В.И. Фадеева"" городского округа Самара Самарской области, Россия, г. Самара (63), обл. Самарская";Общий конкурс;09.03.01 Информатика и вычислительная техника;222;76;;78;68;;0;2019
Ж;нет;;"МБОУ ""Школа № 3 с углубленным изучением предметов имени Героя Советского Союза В.И. Фадеева"" городского округа Самара Самарской области, Россия, г. Самара (63), обл. Самарская";Общий конкурс;01.03.02 Прикладная математика и информатика;228;94;;62;62;"1. Аттестат о среднем общем образовании с отличием — 5
2. Участник заключительных этапов олимпиад школьников — 5";10;2018
М;нет;;"МБОУ ""Школа № 3 с углубленным изучением предметов имени Героя Советского Союза В.И. Фадеева"" городского округа Самара Самарской области, Россия, г. Самара (63), обл. Самарская";Общий конкурс;02.03.02 Фундаментальная информатика и информационные технологии;246;87;;76;78;1. Участник заключительных этапов олимпиад школьников — 5;5;2018
Ж;нет;;"МБОУ ""Школа № 3 с углубленным изучением предметов имени Героя Советского Союза В.И. Фадеева"" городского округа Самара Самарской области, Россия, г. Самара (63), обл. Самарская";Общий конкурс;10.05.03 Информационная безопасность автоматизированных систем;270;94;;78;88;"1. Участник заключительных этапов олимпиад школьников — 5
2. Победитель/призер олимпиады, конкурса, чемпионата, конференции и иных интеллектуальных конкурсов, проводимых МГУ, СПбГУ, университетами, участвующими в проекте «Проект 5-100», НИУ и федеральными университетами, опорными вузами — 3
3. Аттестат о среднем общем образовании с отличием — 5";10;2018
М;нет;;"МБОУ ""Школа № 3 с углубленным изучением предметов имени Героя Советского Союза В.И.Фадеева"" городского округа Самара Самарской области, Россия, г. Самара (63), обл. Самарская";По договору;02.03.03 Математическое обеспечение и администрирование информационных систем;205;76;;62;62;1. Победитель и/или призер олимпиады, конкурса, чемпионата, конференции и иных интеллектуальных конкурсов, проводимых Самарским университетом — 5;5;2020
Ж;нет;;"МБОУ ""Школа № 32 с углубленным изучением отдельных предметов"" городского округа Самара Самарской области, Россия, г. Самара (63), обл. Самарская";Общий конкурс;09.03.01 Информатика и вычислительная техника;226;89;;74;58;1. Аттестат о среднем общем образовании с отличием — 5;5;2020
М;нет;;"МБОУ ""Школа № 32 с углубленным изучением отдельных предметов"" городского округа Самара Самарской области, Россия, г. Самара (63), обл. Самарская";Общий конкурс;02.03.03 Математическое обеспечение и администрирование информационных систем;218;80;;74;64;;0;2019
М;нет;;"МБОУ ""Школа № 32 с углубленным изучением отдельных предметов"" городского округа Самара Самарской области, Россия, г. Самара (63), обл. Самарская";Общий конкурс;09.03.01 Информатика и вычислительная техника;222;78;;74;70;;0;2019
М;нет;;"МБОУ ""Школа № 32 с углубленным изучением отдельных предметов"" городского округа Самара Самарской области, Россия, г. Самара (63), обл. Самарская";Общий конкурс;09.03.01 Информатика и вычислительная техника;213;78;;50;82;1. Победитель/призер олимпиады, конкурса, чемпионата, конференции и иных интеллектуальных конкурсов, проводимых МГУ, СПбГУ, университетами, участвующими в проекте «Проект 5-100», НИУ и федеральными университетами, опорными вузами — 3;3;2018
М;нет;;"МБОУ ""Школа № 34 с углубленным изучением отдельных предметов имени Е.А.Зубчанинова"" городского округа Самара, Россия, г. Самара (63), обл. Самарская";Общий конкурс;01.03.02 Прикладная математика и информатика;236;96;;72;68;;0;2020
М;нет;;"МБОУ ""Школа № 36 с углубленным изучением отдельных предметов"" городского округа Самара Самарской области, Россия, г. Самара (63), обл. Самарская";Общий конкурс;09.03.01 Информатика и вычислительная техника;241;96;;80;60;1. Аттестат о среднем общем образовании с отличием — 5;5;2020
Ж;нет;;"МБОУ ""Школа № 36 с углубленным изучением отдельных предметов"" городского округа Самара Самарской области, Россия, г. Самара (63), обл. Самарская";Общий конкурс;01.03.02 Прикладная математика и информатика;276;98;;84;89;1. Аттестат о среднем общем образовании с отличием — 5;5;2020
М;нет;;"МБОУ ""Школа № 36 с углубленным изучением отдельных предметов"" городского округа Самара Самарской области, Россия, г. Самара (63), обл. Самарская";Общий конкурс;01.03.02 Прикладная математика и информатика;240;70;;86;84;;0;2019
М;нет;;"МБОУ ""Школа № 36 с углубленным изучением отдельных предметов"" городского округа Самара Самарской области, Россия, г. Самара (63), обл. Самарская";Общий конкурс;01.03.02 Прикладная математика и информатика;228;76;;76;76;;0;2018
М;нет;;"МБОУ ""Школа № 36 с углубленным изучением отдельных предметов"" городского округа Самара Самарской области, Россия, г. Самара (63), обл. Самарская";Общий конкурс;01.03.02 Прикладная математика и информатика;230;82;;76;72;;0;2018
Ж;нет;;"МБОУ ""Школа № 37"" городского округа Самара Самарской области, Россия, г. Самара (63), обл. Самарская";Общий конкурс;12.03.05 Лазерная техника и лазерные технологии;192;73;;70;49;;0;2019
Ж;нет;;"МБОУ ""Школа № 42 с углубленном изучением отдельных предметов"" городского округа Самара Самарской области, Россия, г. Самара (63), обл. Самарская";Общий конкурс;01.03.02 Прикладная математика и информатика;250;89;;80;76;1. Аттестат о среднем общем образовании с отличием — 5;5;2019
М;нет;;"МБОУ ""Школа № 42 с углубленным изучением отдельных предметов "" городского округа Самара Самарской области, Россия, г. Самара (63), обл. Самарская";Общий конкурс;01.03.02 Прикладная математика и информатика;234;72;;82;80;;0;2020
Ж;нет;;"МБОУ ""Школа № 42 с углубленным изучением отдельных предметов"" городского округа Самара Самарской области, Россия, г. Самара (63), обл. Самарская";Общий конкурс;01.03.02 Прикладная математика и информатика;260;94;;78;78;"1. Аттестат о среднем общем образовании с отличием — 5
2. Победитель и/или призер олимпиады, конкурса, чемпионата, конференции и иных интеллектуальных конкурсов, проводимых Самарским университетом — 5";10;2020
Ж;нет;;"МБОУ ""Школа № 46"" городского округа Самара, Россия, г. Самара (63), обл. Самарская";Общий конкурс;11.03.01 Радиотехника;177;66;;70;41;;0;2019
М;нет;;"МБОУ ""Школа № 47 с углубленным изучением отдельных предметов имени Героя Советского Союза Ваничкина И.Д,"" городского округа Самара, Россия, г. Самара (63), обл. Самарская";Общий конкурс;11.03.03 Конструирование и технология электронных средств;206;89;;68;49;;0;2018
Ж;нет;;"МБОУ ""Школа № 47 с углубленным изучением отдельных предметов имени Героя Советского Союза Ваничкина И.Д."" городского округа Самара, Россия, г. Самара (63), обл. Самарская";Общий конкурс;10.03.01 Информационная безопасность;222;94;;74;54;;0;2019
М;нет;;"МБОУ ""Школа № 47 с углубленным изучением отдельных предметов имени Героя Советского Союза Ваничкина И.Д."" городского округа Самара, Россия, г. Самара (63), обл. Самарская";Общий конкурс;11.03.04 Электроника и наноэлектроника;229;87;;62;80;;0;2019
М;нет;;"МБОУ ""Школа № 47 с углубленным изучением отдельных предметов имени Героя Советского Союза Ваничкина И.Д."" городского округа Самара, Россия, г. Самара (63), обл. Самарская";Общий конкурс;10.03.01 Информационная безопасность;234;87;;78;64;1. Аттестат о среднем общем образовании с отличием — 5;5;2019
М;нет;;"МБОУ ""Школа № 47 с углубленным изучением отдельных предметов имени Героя Советского Союза Ваничкина И.Д."" городского округа Самара, Россия, г. Самара (63), обл. Самарская";Общий конкурс;01.03.02 Прикладная математика и информатика;233;91;;70;72;;0;2018
М;нет;;"МБОУ ""Школа № 47 с углубленным изучением отдельных предметов имени Героя Советского Союза Ваничкина И.Д."" городского округа Самара, Россия, г. Самара (63), обл. Самарская";Общий конкурс;10.05.03 Информационная безопасность автоматизированных систем;244;78;;74;92;;0;2018
М;нет;;"МБОУ ""Школа № 48"" городского округа Самара, Россия, г. Самара (63), обл. Самарская";Общий конкурс;12.03.04 Биотехнические системы и технологии;252;87;;84;81;;0;2020
